"Match","Shots","Passes","Dribbles","Tackles.Attempted","Interceptions","Clearances","Blocks","Offsides","Fouls","Aerial.duels","Touches","Loss.of.possession","Errors","Saves","Claims","Punches","Shots...Results...Goals","Shots...Results...Shots.on.Target","Shots...Results...Shots.off.Target","Shots...Results...Woodworks","Shots...Results...Blocked","Shots...Results...Own","Shots...Zones...6.yard.box","Shots...Zones...Penalty.Area","Shots...Zones...Outside.of.box","Shots...Situation...Open.Play","Shots...Situation...Fastbreak","Shots...Situation...Set.Pieces","Shots...Situation...Penalty","Shots...Situation...Own.Goal","Shots...Body.Parts...Right.foot","Shots...Body.Parts...Left.foot","Shots...Body.Parts...Head","Shots...Body.Parts...Other.body.parts","Passes...Pass.Type...Cross","Passes...Pass.Type...Freekick","Passes...Pass.Type...Corner","Passes...Pass.Type...Through.Ball","Passes...Pass.Type...Throw.In","Passes...Pass.Type...Key.Passes","Passes...Length...Long","Passes...Length...Short","Passes...Height...Chipped","Passes...Height...Ground","Passes...Body.Parts...Head","Passes...Body.Parts...Feet","Passes...Direction...Forward","Passes...Direction...Backward","Passes...Direction...Left","Passes...Direction...Right","Passes...Target.Zone...Defensive.Third","Passes...Target.Zone...Mid.Third","Passes...Target.Zone...Final.Third","Dribbles...Outcome...Successful","Dribbles...Outcome...Unsuccessful","Tackles.Attempted...Outcome...Successful.Tackles","Tackles.Attempted...Outcome...Was.Dribbled","Clearances...Outcome...Total","Clearances...Outcome...Off.The.Line","Clearances...Body.Parts...Head","Clearances...Body.Parts...Feet","Blocks...Type...Blocked.Shots","Blocks...Type...Crosses","Loss.of.possession...Type...Dispossessed","Loss.of.possession...Type...Turnover","Errors...Type...Lead.to.Shot","Errors...Type...Lead.to.Goal","Average.Age","Market.Value","Ball.Posession","Spectators","Pass.rate","Tackle.rate","Distance.covered","Goals.scored","Result.GoalDiff","Result.W.L.D","TravelDistance"
"Turkey vs Italy",4,360,10,21,17,26,13,2,10,11,515,17,1,6,0,1,0,0,1,0,2,1,0,3,0,1,1,1,0,1,0,2,1,0,8,12,2,3,12,2,66,320,41,345,19,367,245,141,194,192,129,182,75,6,4,11,10,26,0,12,14,5,8,3,14,0,1,26.5,193,63,12916,78,51,105.8,0,-3,-1,3114
"Italy vs Turkey",24,616,18,11,13,4,9,4,8,10,795,18,0,0,0,0,2,8,11,0,5,0,0,15,9,20,0,4,0,0,15,6,3,0,25,8,8,5,33,17,42,639,64,617,24,657,420,260,331,348,98,316,267,10,8,5,6,4,0,1,3,2,7,6,12,0,0,28.8,369.5,37,12916,87,49,111.3,3,3,1,225.85
"Wales vs Switzerland",9,283,7,15,9,28,10,0,6,17,426,16,0,3,2,0,1,2,1,0,6,0,0,7,2,5,0,4,0,0,3,2,4,0,18,11,4,1,11,6,47,269,47,269,25,291,207,106,160,156,87,130,99,2,5,7,8,28,0,22,6,6,4,8,8,0,0,27.3,99.9,64,8782,82,45,90.3,1,0,0,6.26
"Switzerland vs Wales",18,519,14,13,6,10,8,4,9,19,668,12,0,1,1,0,1,4,7,0,7,0,3,9,6,12,1,5,0,0,9,4,5,0,25,5,12,1,17,15,40,525,56,509,22,543,329,235,290,274,103,314,148,8,6,11,2,10,0,6,4,6,2,3,9,0,0,28.1,176,36,8782,88,55,87.3,1,0,0,3110.98
"Denmark vs Finland",22,633,11,12,8,5,8,0,11,27,800,21,1,0,0,0,0,6,10,0,6,0,1,13,8,18,0,3,1,0,9,6,7,0,34,12,9,1,18,20,39,647,69,617,51,635,430,251,333,348,40,367,279,3,8,10,2,5,0,4,1,0,8,10,11,0,1,28.4,191,30,13790,85,53,105.4,0,-1,-1,37.04
"Finland vs Denmark",1,283,7,20,22,33,16,1,12,18,461,20,0,6,3,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,6,10,0,0,19,1,59,252,49,262,28,283,228,83,160,149,86,170,55,2,5,17,3,33,0,12,21,6,10,7,13,0,0,30,29.25,70,13790,68,47,101.7,1,1,1,1130.61
"Belgium vs Russia",9,721,27,12,9,14,5,0,9,18,886,27,0,1,0,0,3,4,3,0,2,0,1,5,3,9,0,0,0,0,4,5,0,0,9,15,2,4,28,5,41,721,46,716,38,724,456,305,377,382,179,455,128,12,15,8,4,14,0,4,10,1,4,10,17,0,0,29.1,374,34,26264,90,52,111,3,3,1,1923.01
"Russia vs Belgium",5,354,8,35,7,16,14,4,11,8,510,17,2,1,0,1,0,1,3,0,1,0,0,2,3,3,0,2,0,0,3,1,1,0,16,6,4,1,20,3,59,333,65,327,31,361,222,170,201,186,95,194,103,4,4,23,12,16,0,4,12,2,12,5,12,0,2,30,106.6,66,26264,74,48,115.1,0,-3,-1,618.59
"England vs Croatia",8,453,15,17,11,7,6,2,9,11,582,18,0,2,1,0,1,2,4,0,2,0,1,3,4,3,0,5,0,0,6,2,0,0,5,9,1,3,14,5,52,425,35,442,16,461,283,193,243,232,103,258,116,6,9,11,6,7,0,4,3,1,5,9,9,0,0,26.4,590,50,18497,84,46,100,1,1,1,166.29
"Croatia vs England",8,457,10,24,3,10,6,2,10,10,595,26,0,1,0,0,0,2,5,0,1,0,0,4,4,6,0,2,0,0,5,2,0,1,12,9,1,0,21,5,47,445,46,446,33,459,317,174,253,232,114,248,130,6,4,18,6,10,0,6,4,2,4,8,18,0,0,28.5,233,50,18497,84,54,96.6,0,-1,-1,1253
