Match,Shots,Passes,Dribbles,Tackles Attempted,Interceptions,Clearances,Blocks,Offsides,Fouls,Aerial duels,Touches,Loss of possession,Errors,Saves,Claims,Punches,Shots - Results - Goals,Shots - Results - Shots on Target,Shots - Results - Shots off Target,Shots - Results - Woodworks,Shots - Results - Blocked,Shots - Results - Own,Shots - Zones - 6-yard box,Shots - Zones - Penalty Area,Shots - Zones - Outside of box,Shots - Situation - Open Play,Shots - Situation - Fastbreak,Shots - Situation - Set Pieces,Shots - Situation - Penalty,Shots - Situation - Own Goal,Shots - Body Parts - Right foot,Shots - Body Parts - Left foot,Shots - Body Parts - Head,Shots - Body Parts - Other body parts,Passes - Pass Type - Cross,Passes - Pass Type - Freekick,Passes - Pass Type - Corner,Passes - Pass Type - Through Ball,Passes - Pass Type - Throw In,Passes - Pass Type - Key Passes,Passes - Length - Long,Passes - Length - Short,Passes - Height - Chipped,Passes - Height - Ground,Passes - Body Parts - Head,Passes - Body Parts - Feet,Passes - Direction - Forward,Passes - Direction - Backward,Passes - Direction - Left,Passes - Direction - Right,Passes - Target Zone - Defensive Third,Passes - Target Zone - Mid Third,Passes - Target Zone - Final Third,Dribbles - Outcome - Successful,Dribbles - Outcome - Unsuccessful,Tackles Attempted - Outcome - Successful Tackles,Tackles Attempted - Outcome - Was Dribbled,Clearances - Outcome - Total,Clearances - Outcome - Off The Line,Clearances - Body Parts - Head,Clearances - Body Parts - Feet,Blocks - Type - Blocked Shots,Blocks - Type - Crosses,Loss of possession - Type - Dispossessed,Loss of possession - Type - Turnover,Errors - Type - Lead to Shot,Errors - Type - Lead to Goal,Average Age,Market Value,Spectators,Pass rate,Ball possession,Tackle rate,Distance covered,Goals scored,Result-GoalDiff,Result-W/L/D,TravelDistance
France vs Romania,14,541,21,18,14,29,18,5,6,19,765,31,0,1,0,0,2,5,7,1,2,0,1,7,6,10,1,3,0,0,5,5,4,0,21,13,5,2,33,12,66,529,53,542,64,531,402,191,313,279,90,322,183,10,11,12,6,29,0,21,8,3,15,11,20,0,0,29.2,299.0,75113,80,64,56,105.0,2,1,1,39.36
Romania vs France,10,288,13,29,17,30,16,1,14,12,502,33,1,3,1,0,1,2,5,0,3,0,4,2,4,5,0,4,1,0,6,2,1,1,19,9,4,0,36,5,74,272,52,294,41,305,259,87,169,174,34,167,145,6,7,19,10,30,0,17,13,2,14,7,26,1,0,29.3,27.3,75113,62,36,44,106.0,1,-1,-1,25.58
Albania vs Switzerland,7,415,7,23,11,12,15,2,10,11,581,26,0,6,1,0,0,2,2,0,3,0,0,5,2,7,0,0,0,0,4,2,1,0,23,22,5,3,12,5,71,387,49,409,32,426,289,169,222,233,112,215,131,4,3,14,9,12,0,4,8,3,12,21,5,0,0,27.9,28.4,33805,84,44,44,103.0,0,-1,-1,484.91
Switzerland vs Albania,15,554,12,28,6,20,11,6,17,18,724,23,1,2,4,0,1,7,5,1,3,0,0,6,9,9,1,5,0,0,6,8,1,0,7,10,4,7,12,13,47,535,38,544,25,557,366,215,299,282,100,332,150,9,3,24,4,20,0,14,6,3,8,13,10,1,0,27.0,115.0,33805,88,56,56,109.0,1,1,1,762.80
Wales vs Slovakia,11,370,13,32,21,18,15,0,17,18,539,21,1,1,1,2,2,8,3,0,0,0,1,4,6,8,0,3,0,0,2,6,3,0,9,17,2,1,16,7,83,314,33,364,35,362,273,122,211,186,59,218,120,4,9,16,16,18,0,10,8,4,11,8,13,1,0,26.5,148.1,37831,73,42,47,109.0,2,1,1,430.61
Slovakia vs Wales,13,503,20,17,20,22,6,3,16,13,703,30,1,6,2,2,1,3,7,1,3,0,0,5,8,10,0,3,0,0,7,5,1,0,10,15,3,2,23,9,61,484,28,517,34,511,345,200,282,260,94,320,131,16,4,13,4,22,0,13,9,0,6,15,15,0,1,29.2,67.3,37831,82,58,53,110.0,1,-1,-1,338.89
England vs Russia,15,449,31,13,16,28,14,5,10,26,668,24,0,2,0,0,1,5,8,0,2,0,0,6,9,10,0,5,0,0,10,2,3,0,17,14,6,4,22,11,43,454,42,455,34,463,313,183,251,241,88,249,160,23,8,9,4,28,0,21,7,1,13,16,8,0,0,25.8,259.0,62343,82,52,57,111.0,1,0,0,696.05
Russia vs England,6,417,8,47,15,20,12,2,16,18,580,19,0,4,0,2,1,2,3,0,1,0,0,4,2,2,0,4,0,0,2,1,3,0,15,14,4,2,23,5,67,389,52,404,40,416,291,163,233,221,80,239,137,4,4,24,23,20,0,12,8,2,10,5,14,0,0,28.0,82.2,62343,76,48,43,110.0,1,0,0,672.44
Turkey vs Croatia,9,404,17,21,11,20,16,1,13,13,586,29,0,5,0,1,0,2,4,0,3,0,0,3,6,6,0,3,0,0,4,3,2,0,11,11,3,0,21,7,74,367,47,394,40,401,290,149,236,203,72,256,113,7,10,16,5,20,0,9,11,2,14,18,11,0,0,27.6,117.0,43842,76,51,43,102.0,0,-1,-1,683.55
Croatia vs Turkey,19,359,15,32,16,23,7,1,15,25,570,19,0,2,1,0,1,6,11,2,2,0,2,13,4,11,0,8,0,0,8,2,9,0,37,12,5,2,16,13,55,361,46,370,43,373,290,126,207,208,56,195,165,5,10,25,7,23,0,20,3,2,5,8,11,0,0,29.1,196.0,43842,78,49,57,105.0,1,1,1,168.96
Poland vs Northern Ireland,18,503,16,15,11,25,8,1,11,24,703,27,0,0,1,1,1,4,7,0,7,0,1,8,9,14,0,4,0,0,10,8,0,0,27,13,8,1,29,13,51,513,64,500,53,511,358,205,280,281,57,298,209,9,7,11,4,25,0,20,5,1,7,18,9,0,0,27.1,157.9,33742,86,65,51,105.0,1,1,1,846.17
